Sample descriptive name	Sample ID	Study ID	Platform	SRA	Description	Species	Comments	Molecule
[E-MTAB-599] c57xdba_Spleen3	GSM759609	GSE30617	GPL9250	SRA	c57xdba_Spleen3 140970	Mus musculus	"material type: organism_part;	strainorline: DBAxC57BL/6J;	genotype: wild_type;	developmentalstage: adult;	organismpart: spleen;	biosourceprovider: Jackson laboratory"	total RNA
[E-MTAB-599] c57xdba_Spleen4	GSM759610	GSE30617	GPL9250	SRA	c57xdba_Spleen4 140971	Mus musculus	"material type: organism_part;	strainorline: DBAxC57BL/6J;	genotype: wild_type;	developmentalstage: adult;	organismpart: spleen;	biosourceprovider: Jackson laboratory"	total RNA
[E-MTAB-599] c57xdba_Spleen5	GSM759611	GSE30617	GPL9250	SRA	c57xdba_Spleen5 140972	Mus musculus	"material type: organism_part;	strainorline: DBAxC57BL/6J;	genotype: wild_type;	developmentalstage: adult;	organismpart: spleen;	biosourceprovider: Jackson laboratory"	total RNA
[E-MTAB-599] c57xdba_Spleen6	GSM759612	GSE30617	GPL9250	SRA	c57xdba_Spleen6 140973	Mus musculus	"material type: organism_part;	strainorline: DBAxC57BL/6J;	genotype: wild_type;	developmentalstage: adult;	organismpart: spleen;	biosourceprovider: Jackson laboratory"	total RNA
[E-MTAB-599] c57xdba_Thymus1	GSM759613	GSE30617	GPL9250	SRA	c57xdba_Thymus1 160266	Mus musculus	"material type: organism_part;	strainorline: DBAxC57BL/6J;	genotype: wild_type;	developmentalstage: adult;	organismpart: thymus;	biosourceprovider: Jackson laboratory"	total RNA
[E-MTAB-599] c57xdba_Thymus2	GSM759614	GSE30617	GPL9250	SRA	c57xdba_Thymus2 160267	Mus musculus	"material type: organism_part;	strainorline: DBAxC57BL/6J;	genotype: wild_type;	developmentalstage: adult;	organismpart: thymus;	biosourceprovider: Jackson laboratory"	total RNA
[E-MTAB-599] c57xdba_Thymus3	GSM759615	GSE30617	GPL9250	SRA	c57xdba_Thymus3 160268	Mus musculus	"material type: organism_part;	strainorline: DBAxC57BL/6J;	genotype: wild_type;	developmentalstage: adult;	organismpart: thymus;	biosourceprovider: Jackson laboratory"	total RNA
[E-MTAB-599] c57xdba_Thymus4	GSM759616	GSE30617	GPL9250	SRA	c57xdba_Thymus4 160269	Mus musculus	"material type: organism_part;	strainorline: DBAxC57BL/6J;	genotype: wild_type;	developmentalstage: adult;	organismpart: thymus;	biosourceprovider: Jackson laboratory"	total RNA
[E-MTAB-599] c57xdba_Thymus5	GSM759617	GSE30617	GPL9250	SRA	c57xdba_Thymus5 160270	Mus musculus	"material type: organism_part;	strainorline: DBAxC57BL/6J;	genotype: wild_type;	developmentalstage: adult;	organismpart: thymus;	biosourceprovider: Jackson laboratory"	total RNA
[E-MTAB-599] c57xdba_Thymus6	GSM759618	GSE30617	GPL9250	SRA	c57xdba_Thymus6 160271	Mus musculus	"material type: organism_part;	strainorline: DBAxC57BL/6J;	genotype: wild_type;	developmentalstage: adult;	organismpart: thymus;	biosourceprovider: Jackson laboratory"	total RNA
CP-1-1	GSM763476	GSE30765	GPL11002	SRA	"Cortical plate, sample1"	Mus musculus	"strain: C57BL/6;	tissue origin: cerebral cortex;	embryonic zone: cortical plate"	total RNA
CP-1-2	GSM763477	GSE30765	GPL11002	SRA	"Cortical plate, sample1"	Mus musculus	"strain: C57BL/6;	tissue origin: cerebral cortex;	embryonic zone: cortical plate"	total RNA
SVZ-IZ-1-1	GSM763478	GSE30765	GPL11002	SRA	"Subventricular and intermediate zone, sample1"	Mus musculus	"strain: C57BL/6;	tissue origin: cerebral cortex;	embryonic zone: subventricular and intermediate zone"	total RNA
SVZ-IZ-1-2	GSM763479	GSE30765	GPL11002	SRA	"Subventricular and intermediate zone, sample1"	Mus musculus	"strain: C57BL/6;	tissue origin: cerebral cortex;	embryonic zone: subventricular and intermediate zone"	total RNA
VZ-1-1	GSM763480	GSE30765	GPL11002	SRA	"Ventricular zone, sample1"	Mus musculus	"strain: C57BL/6;	tissue origin: cerebral cortex;	embryonic zone: ventricular zone"	total RNA
VZ-1-2	GSM763481	GSE30765	GPL11002	SRA	"Ventricular zone, sample1"	Mus musculus	"strain: C57BL/6;	tissue origin: cerebral cortex;	embryonic zone: ventricular zone"	total RNA
CP-2-1	GSM763482	GSE30765	GPL11002	SRA	"Cortical plate, sample2"	Mus musculus	"strain: C57BL/6;	tissue origin: cerebral cortex;	embryonic zone: cortical plate"	total RNA
CP-2-2	GSM763483	GSE30765	GPL11002	SRA	"Cortical plate, sample2"	Mus musculus	"strain: C57BL/6;	tissue origin: cerebral cortex;	embryonic zone: cortical plate"	total RNA
SVZ-IZ-2-1	GSM763484	GSE30765	GPL11002	SRA	"Subventricular and intermediate zone, sample2"	Mus musculus	"strain: C57BL/6;	tissue origin: cerebral cortex;	embryonic zone: subventricular and intermediate zone"	total RNA
SVZ-IZ-2-2	GSM763485	GSE30765	GPL11002	SRA	"Subventricular and intermediate zone, sample2"	Mus musculus	"strain: C57BL/6;	tissue origin: cerebral cortex;	embryonic zone: subventricular and intermediate zone"	total RNA
VZ-2-1	GSM763486	GSE30765	GPL11002	SRA	"Ventricular zone, sample2"	Mus musculus	"strain: C57BL/6;	tissue origin: cerebral cortex;	embryonic zone: ventricular zone"	total RNA
VZ-2-2	GSM763487	GSE30765	GPL11002	SRA	"Ventricular zone, sample2"	Mus musculus	"strain: C57BL/6;	tissue origin: cerebral cortex;	embryonic zone: ventricular zone"	total RNA
Cytoplasmic_0min	GSM814832	GSE32916	GPL13112	SRA	Macrophage	Mus musculus	"strain: C57BL/6;	subcellular fraction: Cytoplasmic;	stimulation time: 0 minutes;	stimulation type: unstimulated"	total RNA
Cytoplasmic_15min	GSM814833	GSE32916	GPL13112	SRA	Macrophage	Mus musculus	"strain: C57BL/6;	subcellular fraction: Cytoplasmic;	stimulation time: 15 minutes;	stimulation type: Lipid A"	total RNA
Cytoplasmic_30min	GSM814834	GSE32916	GPL13112	SRA	Macrophage	Mus musculus	"strain: C57BL/6;	subcellular fraction: Cytoplasmic;	stimulation time: 30 minutes;	stimulation type: Lipid A"	total RNA
Cytoplasmic_60min	GSM814835	GSE32916	GPL13112	SRA	Macrophage	Mus musculus	"strain: C57BL/6;	subcellular fraction: Cytoplasmic;	stimulation time: 60 minutes;	stimulation type: Lipid A"	total RNA
Cytoplasmic_120min	GSM814836	GSE32916	GPL13112	SRA	Macrophage	Mus musculus	"strain: C57BL/6;	subcellular fraction: Cytoplasmic;	stimulation time: 120 minutes;	stimulation type: Lipid A"	total RNA
Nucleoplasmic_0min	GSM814837	GSE32916	GPL13112	SRA	Macrophage	Mus musculus	"strain: C57BL/6;	subcellular fraction: Nucleoplasmic;	stimulation time: 0 minutes;	stimulation type: unstimulated"	total RNA
Nucleoplasmic_15min	GSM814838	GSE32916	GPL13112	SRA	Macrophage	Mus musculus	"strain: C57BL/6;	subcellular fraction: Nucleoplasmic;	stimulation time: 15 minutes;	stimulation type: Lipid A"	total RNA
Nucleoplasmic_30min	GSM814839	GSE32916	GPL13112	SRA	Macrophage	Mus musculus	"strain: C57BL/6;	subcellular fraction: Nucleoplasmic;	stimulation time: 30 minutes;	stimulation type: Lipid A"	total RNA
Nucleoplasmic_60min	GSM814840	GSE32916	GPL13112	SRA	Macrophage	Mus musculus	"strain: C57BL/6;	subcellular fraction: Nucleoplasmic;	stimulation time: 60 minutes;	stimulation type: Lipid A"	total RNA
Nucleoplasmic_120min	GSM814841	GSE32916	GPL13112	SRA	Macrophage	Mus musculus	"strain: C57BL/6;	subcellular fraction: Nucleoplasmic;	stimulation time: 120 minutes;	stimulation type: Lipid A"	total RNA
Chromatin_0min	GSM814842	GSE32916	GPL13112	SRA	Macrophage	Mus musculus	"strain: C57BL/6;	subcellular fraction: Chromatin;	stimulation time: 0 minutes;	stimulation type: unstimulated"	total RNA
Chromatin_15min	GSM814843	GSE32916	GPL13112	SRA	Macrophage	Mus musculus	"strain: C57BL/6;	subcellular fraction: Chromatin;	stimulation time: 15 minutes;	stimulation type: Lipid A"	total RNA
Chromatin_30min	GSM814844	GSE32916	GPL13112	SRA	Macrophage	Mus musculus	"strain: C57BL/6;	subcellular fraction: Chromatin;	stimulation time: 30 minutes;	stimulation type: Lipid A"	total RNA
Chromatin_60min	GSM814845	GSE32916	GPL13112	SRA	Macrophage	Mus musculus	"strain: C57BL/6;	subcellular fraction: Chromatin;	stimulation time: 60 minutes;	stimulation type: Lipid A"	total RNA
Chromatin_120min	GSM814846	GSE32916	GPL13112	SRA	Macrophage	Mus musculus	"strain: C57BL/6;	subcellular fraction: Chromatin;	stimulation time: 120 minutes;	stimulation type: Lipid A"	total RNA
Bmi1-/- whole brain RNA-seq_2	GSM1151248	GSE33912	GPL11002	SRA	whole brain	Mus musculus	"strain: FVB;	tissue: brain"	total RNA
Bmi1-/- whole brain RNA-seq_1	GSM1151249	GSE33912	GPL11002	SRA	whole brain	Mus musculus	"strain: FVB;	tissue: brain"	total RNA
Wild-type whole brain RNA-seq_2	GSM1151250	GSE33912	GPL11002	SRA	whole brain	Mus musculus	"strain: FVB;	tissue: brain"	total RNA
Wild-type whole brain RNA-seq_1	GSM1151251	GSE33912	GPL11002	SRA	whole brain	Mus musculus	"strain: FVB;	tissue: brain"	total RNA
Neural progenitor cells+BMI1 knockdown+BMP4(10ng/3hr)	GSM1151252	GSE33912	GPL11002	SRA	Sub-ventricular zone (brain)	Mus musculus	"treatment: BMI1 knockdown+BMP4(10ng/3hr);	strain: FVB;	cell type: Sub ventricular-zone derived neural stem cells;	genotype: Ink4a/Arf -/-;BMI1 dox-inducible shRNA"	total RNA
Neural progenitor cells+BMI1 knockdown+BMP4(10ng/6hr)	GSM1151253	GSE33912	GPL11002	SRA	Sub-ventricular zone (brain)	Mus musculus	"treatment: BMI1 knockdown+BMP4(10ng/6hr);	strain: FVB;	cell type: Sub ventricular-zone derived neural stem cells;	genotype: Ink4a/Arf -/-;BMI1 dox-inducible shRNA"	total RNA
Neural progenitor cells+BMI1 knockdown+BMP4(50ng/3hr)	GSM1151254	GSE33912	GPL11002	SRA	Sub-ventricular zone (brain)	Mus musculus	"treatment: BMI1 knockdown+BMP4(50ng/3hr);	strain: FVB;	cell type: Sub ventricular-zone derived neural stem cells;	genotype: Ink4a/Arf -/-;BMI1 dox-inducible shRNA"	total RNA
Neural progenitor cells+BMI1 knockdown+BMP4(50ng/6hr)	GSM1151255	GSE33912	GPL11002	SRA	Sub-ventricular zone (brain)	Mus musculus	"treatment: BMI1 knockdown+BMP4(50ng/6hr);	strain: FVB;	cell type: Sub ventricular-zone derived neural stem cells;	genotype: Ink4a/Arf -/-;BMI1 dox-inducible shRNA"	total RNA
Neural progenitor cells+BMI1 knockdown+FBS(10%/3hr)	GSM1151256	GSE33912	GPL11002	SRA	Sub-ventricular zone (brain)	Mus musculus	"treatment: BMI1 knockdown+FBS(10%/3hr);	strain: FVB;	cell type: Sub ventricular-zone derived neural stem cells;	genotype: Ink4a/Arf -/-;BMI1 dox-inducible shRNA"	total RNA
Neural progenitor cells+BMI1 knockdown+FBS(10%/6hr)	GSM1151257	GSE33912	GPL11002	SRA	Sub-ventricular zone (brain)	Mus musculus	"treatment: BMI1 knockdown+FBS(10%/6hr);	strain: FVB;	cell type: Sub ventricular-zone derived neural stem cells;	genotype: Ink4a/Arf -/-;BMI1 dox-inducible shRNA"	total RNA
Neural progenitor cells+BMI1 knockdown+FBS(1%/3hr)	GSM1151258	GSE33912	GPL11002	SRA	Sub-ventricular zone (brain)	Mus musculus	"treatment: BMI1 knockdown+FBS(1%/3hr);	strain: FVB;	cell type: Sub ventricular-zone derived neural stem cells;	genotype: Ink4a/Arf -/-;BMI1 dox-inducible shRNA"	total RNA
Neural progenitor cells+BMI1 knockdown+FBS(1%/6hr)	GSM1151259	GSE33912	GPL11002	SRA	Sub-ventricular zone (brain)	Mus musculus	"treatment: BMI1 knockdown+FBS(1%/6hr);	strain: FVB;	cell type: Sub ventricular-zone derived neural stem cells;	genotype: Ink4a/Arf -/-;BMI1 dox-inducible shRNA"	total RNA
Neural progenitor cells (control 1)	GSM1151260	GSE33912	GPL11002	SRA	Sub-ventricular zone (brain)	Mus musculus	"strain: FVB;	cell type: Sub ventricular-zone derived neural stem cells;	genotype: Ink4a/Arf -/-;BMI1 dox-inducible shRNA"	total RNA
Neural progenitor cells (control 2)	GSM1151261	GSE33912	GPL11002	SRA	Sub-ventricular zone (brain)	Mus musculus	"strain: FVB;	cell type: Sub ventricular-zone derived neural stem cells;	genotype: Ink4a/Arf -/-;BMI1 dox-inducible shRNA"	total RNA
Neural progenitor cells+GFP knockdown+BMP4(10ng/3hr) rep	GSM1151262	GSE33912	GPL11002	SRA	Sub-ventricular zone (brain)	Mus musculus	"treatment: GFP knockdown+BMP4(10ng/3hr);	strain: FVB;	cell type: Sub ventricular-zone derived neural stem cells;	genotype: Ink4a/Arf -/-;BMI1 dox-inducible shRNA"	total RNA
Neural progenitor cells+GFP knockdown+BMP4(10ng/6hr) rep	GSM1151263	GSE33912	GPL11002	SRA	Sub-ventricular zone (brain)	Mus musculus	"treatment: GFP knockdown+BMP4(10ng/6hr);	strain: FVB;	cell type: Sub ventricular-zone derived neural stem cells;	genotype: Ink4a/Arf -/-;BMI1 dox-inducible shRNA"	total RNA
Neural progenitor cells+GFP knockdown+BMP4(50ng/3hr) rep	GSM1151264	GSE33912	GPL11002	SRA	Sub-ventricular zone (brain)	Mus musculus	"treatment: GFP knockdown+BMP4(50ng/3hr);	strain: FVB;	cell type: Sub ventricular-zone derived neural stem cells;	genotype: Ink4a/Arf -/-;BMI1 dox-inducible shRNA"	total RNA
Neural progenitor cells+GFP knockdown+BMP4(50ng/6hr) rep	GSM1151265	GSE33912	GPL11002	SRA	Sub-ventricular zone (brain)	Mus musculus	"treatment: GFP knockdown+BMP4(50ng/6hr);	strain: FVB;	cell type: Sub ventricular-zone derived neural stem cells;	genotype: Ink4a/Arf -/-;BMI1 dox-inducible shRNA"	total RNA
Neural progenitor cells+GFP knockdown+FBS(10%/3hr) rep	GSM1151266	GSE33912	GPL11002	SRA	Sub-ventricular zone (brain)	Mus musculus	"treatment: GFP knockdown+FBS(10%/3hr);	strain: FVB;	cell type: Sub ventricular-zone derived neural stem cells;	genotype: Ink4a/Arf -/-;BMI1 dox-inducible shRNA"	total RNA
Neural progenitor cells+GFP knockdown+FBS(10%/6hr) rep	GSM1151267	GSE33912	GPL11002	SRA	Sub-ventricular zone (brain)	Mus musculus	"treatment: GFP knockdown+FBS(10%/6hr);	strain: FVB;	cell type: Sub ventricular-zone derived neural stem cells;	genotype: Ink4a/Arf -/-;BMI1 dox-inducible shRNA"	total RNA
Neural progenitor cells+GFP knockdown+FBS(1%/3hr) rep	GSM1151268	GSE33912	GPL11002	SRA	Sub-ventricular zone (brain)	Mus musculus	"treatment: GFP knockdown+FBS(1%/3hr);	strain: FVB;	cell type: Sub ventricular-zone derived neural stem cells;	genotype: Ink4a/Arf -/-;BMI1 dox-inducible shRNA"	total RNA
Neural progenitor cells+GFP knockdown+FBS(1%/6hr) rep	GSM1151269	GSE33912	GPL11002	SRA	Sub-ventricular zone (brain)	Mus musculus	"treatment: GFP knockdown+FBS(1%/6hr);	strain: FVB;	cell type: Sub ventricular-zone derived neural stem cells;	genotype: Ink4a/Arf -/-;BMI1 dox-inducible shRNA"	total RNA
Neural progenitor cells+GFP knockdown+BMP4(10ng/3hr) rep2	GSM1151270	GSE33912	GPL11002	SRA	Sub-ventricular zone (brain)	Mus musculus	"treatment: GFP knockdown+BMP4(10ng/3hr);	strain: FVB;	cell type: Sub ventricular-zone derived neural stem cells;	genotype: Ink4a/Arf -/-;BMI1 dox-inducible shRNA"	total RNA
Neural progenitor cells+GFP knockdown+BMP4(10ng/6hr) rep2	GSM1151271	GSE33912	GPL11002	SRA	Sub-ventricular zone (brain)	Mus musculus	"treatment: GFP knockdown+BMP4(10ng/6hr);	strain: FVB;	cell type: Sub ventricular-zone derived neural stem cells;	genotype: Ink4a/Arf -/-;BMI1 dox-inducible shRNA"	total RNA
WT Sham 6 LV mRNA Seq	GSM866660	GSE35350	GPL13112	SRA	WT Sham 6 LV RNA	Mus musculus	"genotype: WT;	strain: FVB;	tissue: heart left ventricle;	treatment: Sham"	total RNA
WT Sham 13 LV mRNA Seq	GSM866661	GSE35350	GPL13112	SRA	WT Sham 13 LV RNA	Mus musculus	"genotype: WT;	strain: FVB;	tissue: heart left ventricle;	treatment: Sham"	total RNA
WT Sham 15 LV mRNA Seq	GSM866662	GSE35350	GPL13112	SRA	WT Sham 13 LV RNA	Mus musculus	"genotype: WT;	strain: FVB;	tissue: heart left ventricle;	treatment: Sham"	total RNA
WT Sham 7 LV mRNA Seq	GSM866663	GSE35350	GPL13112	SRA	WT Sham 7 LV RNA	Mus musculus	"genotype: WT;	strain: FVB;	tissue: heart left ventricle;	treatment: Sham"	total RNA
WT TAC 1 LV mRNA Seq	GSM866664	GSE35350	GPL13112	SRA	WT TAC 1 LV RNA	Mus musculus	"genotype: WT;	strain: FVB;	tissue: heart left ventricle;	treatment: TAC"	total RNA
WT TAC 17 LV mRNA Seq	GSM866665	GSE35350	GPL13112	SRA	WT TAC 17 LV RNA	Mus musculus	"genotype: WT;	strain: FVB;	tissue: heart left ventricle;	treatment: TAC"	total RNA
WT TAC 19 LV mRNA Seq	GSM866666	GSE35350	GPL13112	SRA	WT TAC 19 LV RNA	Mus musculus	"genotype: WT;	strain: FVB;	tissue: heart left ventricle;	treatment: TAC"	total RNA
PI3Kalpha Sham 5 LV mRNA Seq	GSM866667	GSE35350	GPL13112	SRA	PI3Kalpha Sham 5 LV RNA	Mus musculus	"genotype: PI3Kalpha mutant;	strain: FVB;	tissue: heart left ventricle;	treatment: Sham"	total RNA
PI3Kalpha Sham 8 LV mRNA Seq	GSM866668	GSE35350	GPL13112	SRA	PI3Kalpha Sham 8 LV RNA	Mus musculus	"genotype: PI3Kalpha mutant;	strain: FVB;	tissue: heart left ventricle;	treatment: Sham"	total RNA
PI3Kalpha TAC 11 LV mRNA Seq	GSM866669	GSE35350	GPL13112	SRA	PI3Kalpha TAC 11 LV RNA	Mus musculus	"genotype: PI3Kalpha mutant;	strain: FVB;	tissue: heart left ventricle;	treatment: TAC"	total RNA
PI3Kalpha TAC 211 LV mRNA Seq	GSM866670	GSE35350	GPL13112	SRA	PI3Kalpha TAC 211 LV RNA	Mus musculus	"genotype: PI3Kalpha mutant;	strain: FVB;	tissue: heart left ventricle;	treatment: TAC"	total RNA
RNA-seq_cotreat_rep1	GSM1261655	GSE35724	GPL13112	SRA	3T3-L1_differentiated_Cotreat	Mus musculus	"treatment: TNFalpha and hypoxia;	cell line: 3T3-L1;	passage: less than 10"	polyA RNA
RNA-seq_cotreat_rep2	GSM1261656	GSE35724	GPL13112	SRA	3T3-L1_differentiated_Cotreat	Mus musculus	"treatment: TNFalpha and hypoxia;	cell line: 3T3-L1;	passage: less than 10"	polyA RNA
RNA-seq_cotreat_rep3	GSM1261657	GSE35724	GPL13112	SRA	3T3-L1_differentiated_Cotreat	Mus musculus	"treatment: TNFalpha and hypoxia;	cell line: 3T3-L1;	passage: less than 10"	polyA RNA
RNA-seq_palmitate_rep1	GSM1261658	GSE35724	GPL13112	SRA	3T3-L1_differentiated_Palmitate	Mus musculus	"treatment: Palmitate;	cell line: 3T3-L1;	passage: less than 10"	polyA RNA
RNA-seq_palmitate_rep2	GSM1261659	GSE35724	GPL13112	SRA	3T3-L1_differentiated_Palmitate	Mus musculus	"treatment: Palmitate;	cell line: 3T3-L1;	passage: less than 10"	polyA RNA
RNA-seq_palmitate_rep3	GSM1261660	GSE35724	GPL13112	SRA	3T3-L1_differentiated_Palmitate	Mus musculus	"treatment: Palmitate;	cell line: 3T3-L1;	passage: less than 10"	polyA RNA
RNA-seq_palmitate_control_rep1	GSM1261661	GSE35724	GPL13112	SRA	3T3-L1_differentiated_Palmitate_control	Mus musculus	"treatment: control;	cell line: 3T3-L1;	passage: less than 10"	polyA RNA
RNA-seq_palmitate_control_rep2	GSM1261662	GSE35724	GPL13112	SRA	3T3-L1_differentiated_Palmitate_control	Mus musculus	"treatment: control;	cell line: 3T3-L1;	passage: less than 10"	polyA RNA
RNA-seq_palmitate_control_rep3	GSM1261663	GSE35724	GPL13112	SRA	3T3-L1_differentiated_Palmitate_control	Mus musculus	"treatment: control;	cell line: 3T3-L1;	passage: less than 10"	polyA RNA
RNA-seq Control rep1	GSM873962	GSE35724	GPL9250	SRA	3T3-L1 differentiated untreated	Mus musculus	"cell line: 3T3-L1;	treatment: differentiated untreated;	passage: less than 10"	polyA RNA
RNA-seq Control rep2	GSM873963	GSE35724	GPL9250	SRA	3T3-L1 differentiated untreated	Mus musculus	"cell line: 3T3-L1;	treatment: differentiated untreated;	passage: less than 10"	polyA RNA
RNA-seq Control rep3	GSM873964	GSE35724	GPL9250	SRA	3T3-L1 differentiated untreated	Mus musculus	"cell line: 3T3-L1;	treatment: differentiated untreated;	passage: less than 10"	polyA RNA
RNA-seq TNF rep1	GSM873965	GSE35724	GPL9250	SRA	3T3-L1 differentiated TNF	Mus musculus	"cell line: 3T3-L1;	treatment: differentiated TNF;	passage: less than 10"	polyA RNA
RNA-seq TNF rep2	GSM873966	GSE35724	GPL9250	SRA	3T3-L1 differentiated TNF	Mus musculus	"cell line: 3T3-L1;	treatment: differentiated TNF;	passage: less than 10"	polyA RNA
RNA-seq TNF rep3	GSM873967	GSE35724	GPL9250	SRA	3T3-L1 differentiated TNF	Mus musculus	"cell line: 3T3-L1;	treatment: differentiated TNF;	passage: less than 10"	polyA RNA
RNA-seq Dex rep1	GSM873968	GSE35724	GPL9250	SRA	3T3-L1 differentiated Dex	Mus musculus	"cell line: 3T3-L1;	treatment: differentiated Dex;	passage: less than 10"	polyA RNA
